Date : 2025-03-25 17:20:13
Directory : /Users/rock/Documents/Projekti/project-manager/api
Total : 69 files,  -1533 codes, 330 comments, -94 blanks, all -1297 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| PHP                |         19 |      1,028 |        442 |        297 |      1,767 |
| JSON               |          4 |         24 |          0 |          2 |         26 |
| XML                |         10 |        -10 |          0 |          0 |        -10 |
| JSON with Comments |          1 |        -19 |         -2 |         -3 |        -24 |
| HTML               |          2 |        -25 |          0 |         -3 |        -28 |
| CSS                |          9 |       -723 |        -43 |       -122 |       -888 |
| TypeScript         |         24 |     -1,808 |        -67 |       -265 |     -2,140 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         69 |     -1,533 |        330 |        -94 |     -1,297 |
| . (Files)                                                                                           |          2 |         34 |          0 |          2 |         36 |
| ..                                                                                                  |         47 |     -2,600 |       -112 |       -394 |     -3,106 |
| ../client                                                                                           |         47 |     -2,600 |       -112 |       -394 |     -3,106 |
| ../client (Files)                                                                                   |          4 |        -56 |         -2 |         -7 |        -65 |
| ../client/src                                                                                       |         43 |     -2,544 |       -110 |       -387 |     -3,041 |
| ../client/src (Files)                                                                               |          3 |        -40 |         -1 |         -8 |        -49 |
| ../client/src/Assets                                                                                |         11 |        -64 |          0 |        -10 |        -74 |
| ../client/src/Components                                                                            |          3 |       -253 |        -13 |        -32 |       -298 |
| ../client/src/Controllers                                                                           |          9 |     -1,077 |        -24 |       -126 |     -1,227 |
| ../client/src/Controllers/App                                                                       |          9 |     -1,077 |        -24 |       -126 |     -1,227 |
| ../client/src/Routes                                                                                |          1 |        -83 |        -12 |        -23 |       -118 |
| ../client/src/Services                                                                              |          3 |       -140 |         -1 |        -28 |       -169 |
| ../client/src/Store                                                                                 |          2 |        -84 |        -12 |        -20 |       -116 |
| ../client/src/Styles                                                                                |          9 |       -723 |        -43 |       -122 |       -888 |
| ../client/src/Types                                                                                 |          1 |         -4 |          0 |          0 |         -4 |
| ../client/src/Utils                                                                                 |          1 |        -76 |         -4 |        -18 |        -98 |
| public                                                                                              |          1 |         19 |          2 |          9 |         30 |
| src                                                                                                 |          9 |        414 |         56 |        143 |        613 |
| src (Files)                                                                                         |          1 |         13 |          2 |          5 |         20 |
| src/App                                                                                             |          3 |        225 |         25 |         85 |        335 |
| src/App/Controllers                                                                                 |          3 |        225 |         25 |         85 |        335 |
| src/Config                                                                                          |          1 |          8 |          0 |          2 |         10 |
| src/Framework                                                                                       |          3 |        151 |         19 |         43 |        213 |
| src/utils                                                                                           |          1 |         17 |         10 |          8 |         35 |
| vendor                                                                                              |         10 |        600 |        384 |        146 |      1,130 |
| vendor (Files)                                                                                      |          1 |         20 |          1 |          5 |         26 |
| vendor/composer                                                                                     |          9 |        580 |        383 |        141 |      1,104 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                            | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/rock/Documents/Projekti/project-manager/api/composer.json                                    | JSON               |         16 |          0 |          1 |         17 |
| /Users/rock/Documents/Projekti/project-manager/api/composer.lock                                    | JSON               |         18 |          0 |          1 |         19 |
| /Users/rock/Documents/Projekti/project-manager/api/public/Index.php                                 | PHP                |         19 |          2 |          9 |         30 |
| /Users/rock/Documents/Projekti/project-manager/api/src/App/Controllers/AuthController.php           | PHP                |         73 |          5 |         35 |        113 |
| /Users/rock/Documents/Projekti/project-manager/api/src/App/Controllers/ProjectsController.php       | PHP                |         92 |         13 |         34 |        139 |
| /Users/rock/Documents/Projekti/project-manager/api/src/App/Controllers/TasksController.php          | PHP                |         60 |          7 |         16 |         83 |
| /Users/rock/Documents/Projekti/project-manager/api/src/Config/db.php                                | PHP                |          8 |          0 |          2 |         10 |
| /Users/rock/Documents/Projekti/project-manager/api/src/Framework/Database.php                       | PHP                |         39 |         11 |         11 |         61 |
| /Users/rock/Documents/Projekti/project-manager/api/src/Framework/Router.php                         | PHP                |         91 |          2 |         25 |        118 |
| /Users/rock/Documents/Projekti/project-manager/api/src/Framework/Validation.php                     | PHP                |         21 |          6 |          7 |         34 |
| /Users/rock/Documents/Projekti/project-manager/api/src/Routes.php                                   | PHP                |         13 |          2 |          5 |         20 |
| /Users/rock/Documents/Projekti/project-manager/api/src/utils/Helpers.php                            | PHP                |         17 |         10 |          8 |         35 |
| /Users/rock/Documents/Projekti/project-manager/api/vendor/autoload.php                              | PHP                |         20 |          1 |          5 |         26 |
| /Users/rock/Documents/Projekti/project-manager/api/vendor/composer/ClassLoader.php                  | PHP                |        286 |        235 |         59 |        580 |
