"filename", "language", "TypeScript", "CSS", "HTML", "JSON with Comments", "JSON", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ProjectPopupViews/ProjectPopupTaskView.ts", "TypeScript", 198, 0, 0, 0, 0, 1, 17, 216
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ProjectPopupViews/ProjectPopupView.ts", "TypeScript", 66, 0, 0, 0, 0, 1, 10, 77
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/TeamsExtraViews/Team.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 3, 16
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/TeamsExtraViews/TeamsPopupView.ts", "TypeScript", 172, 0, 0, 0, 0, 6, 21, 199
"/Users/rock/Documents/Projekti/project-manager/client/src/index.html", "HTML", 0, 0, 12, 0, 0, 0, 2, 14
"/Users/rock/Documents/Projekti/project-manager/client/src/main.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 3, 35
"/Users/rock/Documents/Projekti/project-manager/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"/Users/rock/Documents/Projekti/project-manager/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 19, 0, 2, 3, 24
"/Users/rock/Documents/Projekti/project-manager/client/vite.config.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 2785, 1312, 25, 19, 935, 209, 596, 5881
