"filename", "language", "TypeScript", "XML", "CSS", "HTML", "JSON with Comments", "JSON", "PHP", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/project-manager/client/src/Routes/Router.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 4, 14, 67
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/ApiService.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 13, 75
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/AuthService.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 8, 60
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/ProjectsService.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/rock/Documents/Projekti/project-manager/client/src/Store/Store.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 12, 14, 77
"/Users/rock/Documents/Projekti/project-manager/client/src/Store/UserStore.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Dashboard.css", "CSS", 0, 0, 97, 0, 0, 0, 0, 2, 19, 118
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Error.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Login.css", "CSS", 0, 0, 81, 0, 0, 0, 0, 0, 13, 94
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/MainContent.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Projects.css", "CSS", 0, 0, 202, 0, 0, 0, 0, 3, 33, 238
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Root.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Sidebar.css", "CSS", 0, 0, 104, 0, 0, 0, 0, 0, 18, 122
"/Users/rock/Documents/Projekti/project-manager/client/src/Types/css.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/rock/Documents/Projekti/project-manager/client/src/Utils/Helpers.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 3, 15, 79
"/Users/rock/Documents/Projekti/project-manager/client/src/index.html", "HTML", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/rock/Documents/Projekti/project-manager/client/src/main.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/rock/Documents/Projekti/project-manager/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/rock/Documents/Projekti/project-manager/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 19, 0, 0, 2, 3, 24
"/Users/rock/Documents/Projekti/project-manager/client/vite.config.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 1311, 10, 512, 25, 19, -24, -816, -349, 55, 743
