"filename", "language", "TypeScript", "CSS", "JSON", "JSON with Comments", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/project-manager/client/index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 1, 14
"/Users/rock/Documents/Projekti/project-manager/client/jest.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 10, 3, 3, 16
"/Users/rock/Documents/Projekti/project-manager/client/jest.setup.js", "JavaScript", 0, 0, 0, 0, 0, 57, 0, 7, 64
"/Users/rock/Documents/Projekti/project-manager/client/package-lock.json", "JSON", 0, 0, 5633, 0, 0, 0, 0, 1, 5634
"/Users/rock/Documents/Projekti/project-manager/client/package.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 1, 24
"/Users/rock/Documents/Projekti/project-manager/client/src/Assets/Icons.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 11, 68
"/Users/rock/Documents/Projekti/project-manager/client/src/Components/MainContent.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/rock/Documents/Projekti/project-manager/client/src/Components/PopupModal.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/rock/Documents/Projekti/project-manager/client/src/Components/ProjectCard.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 6, 63
"/Users/rock/Documents/Projekti/project-manager/client/src/Components/Sidebar.ts", "TypeScript", 255, 0, 0, 0, 0, 0, 5, 28, 288
"/Users/rock/Documents/Projekti/project-manager/client/src/Routes/Router.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 14, 28, 153
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/AuthService.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 8, 58
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/BaseService.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 1, 11, 66
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/ProjectsService.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 20, 79
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/TaskService.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/TeamsService.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 11, 48
"/Users/rock/Documents/Projekti/project-manager/client/src/Store/Store.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 21, 16, 93
"/Users/rock/Documents/Projekti/project-manager/client/src/Store/UserStore.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 6, 42
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Error.css", "CSS", 0, 11, 0, 0, 0, 0, 0, 2, 13
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/MainContent.css", "CSS", 0, 5, 0, 0, 0, 0, 1, 1, 7
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Root.css", "CSS", 0, 27, 0, 0, 0, 0, 0, 4, 31
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/SharedStylings/Popup.css", "CSS", 0, 41, 0, 0, 0, 0, 0, 6, 47
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/SharedStylings/ProjectCards.css", "CSS", 0, 43, 0, 0, 0, 0, 1, 8, 52
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/SharedStylings/SectionHeader.css", "CSS", 0, 11, 0, 0, 0, 0, 0, 2, 13
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/SharedStylings/UpperInnerSection.css", "CSS", 0, 21, 0, 0, 0, 0, 0, 3, 24
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Sidebar.css", "CSS", 0, 237, 0, 0, 0, 0, 5, 42, 284
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Auth/Login.css", "CSS", 0, 81, 0, 0, 0, 0, 0, 13, 94
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Dashboard/Dashboard.css", "CSS", 0, 334, 0, 0, 0, 0, 11, 45, 390
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Dashboard/QuickTaskPopup.css", "CSS", 0, 89, 0, 0, 0, 0, 0, 14, 103
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Projects/Project/Project.css", "CSS", 0, 570, 0, 0, 0, 0, 12, 93, 675
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Projects/Project/ProjectMemberPopup.css", "CSS", 0, 127, 0, 0, 0, 0, 3, 22, 152
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Projects/Project/ProjectPopup.css", "CSS", 0, 101, 0, 0, 0, 0, 2, 15, 118
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Projects/Projects.css", "CSS", 0, 499, 0, 0, 0, 0, 18, 80, 597
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Reports/Reports.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Tasks/TaskDetailsPopup.css", "CSS", 0, 188, 0, 0, 0, 0, 9, 34, 231
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Tasks/Tasks.css", "CSS", 0, 269, 0, 0, 0, 0, 11, 45, 325
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Teams/Team/AddMemberEditTeam.css", "CSS", 0, 27, 0, 0, 0, 0, 0, 5, 32
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Teams/Team/Team.css", "CSS", 0, 226, 0, 0, 0, 0, 0, 38, 264
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Teams/Team/TeamPopup.css", "CSS", 0, 62, 0, 0, 0, 0, 0, 9, 71
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Views/Teams/Teams.css", "CSS", 0, 186, 0, 0, 0, 0, 29, 25, 240
"/Users/rock/Documents/Projekti/project-manager/client/src/Tests/team.test.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 17, 19, 102
