Date : 2025-04-15 19:26:57
Directory : /Users/rock/Documents/Projekti/project-manager/api
Total : 74 files,  -3750 codes, 235 comments, -239 blanks, all -3754 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| PHP                |         19 |      1,102 |        439 |        316 |      1,857 |
| JSON with Comments |          1 |        -19 |         -2 |         -3 |        -24 |
| HTML               |          2 |        -25 |          0 |         -3 |        -28 |
| JSON               |          5 |       -896 |          0 |          1 |       -895 |
| CSS                |         18 |     -1,305 |       -120 |       -217 |     -1,642 |
| TypeScript         |         29 |     -2,607 |        -82 |       -333 |     -3,022 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |         74 |     -3,750 |        235 |       -239 |     -3,754 |
| . (Files)                                                                                                   |          2 |         34 |          0 |          2 |         36 |
| ..                                                                                                          |         52 |     -4,891 |       -204 |       -558 |     -5,653 |
| ../client                                                                                                   |         52 |     -4,891 |       -204 |       -558 |     -5,653 |
| ../client (Files)                                                                                           |          5 |       -976 |         -2 |         -8 |       -986 |
| ../client/src                                                                                               |         47 |     -3,915 |       -202 |       -550 |     -4,667 |
| ../client/src (Files)                                                                                       |          3 |        -44 |         -1 |         -6 |        -51 |
| ../client/src/Assets                                                                                        |          1 |        -57 |          0 |        -11 |        -68 |
| ../client/src/Components                                                                                    |          4 |       -283 |        -13 |        -35 |       -331 |
| ../client/src/Routes                                                                                        |          1 |        -88 |        -14 |        -23 |       -125 |
| ../client/src/Services                                                                                      |          4 |       -164 |         -1 |        -36 |       -201 |
| ../client/src/Store                                                                                         |          2 |        -81 |        -21 |        -22 |       -124 |
| ../client/src/Styles                                                                                        |         18 |     -1,305 |       -120 |       -217 |     -1,642 |
| ../client/src/Styles (Files)                                                                                |         14 |     -1,183 |       -119 |       -199 |     -1,501 |
| ../client/src/Styles/SharedStylings                                                                         |          4 |       -122 |         -1 |        -18 |       -141 |
| ../client/src/Types                                                                                         |          1 |         -4 |          0 |          0 |         -4 |
| ../client/src/Utils                                                                                         |          1 |        -76 |         -4 |        -18 |        -98 |
| ../client/src/Views                                                                                         |         12 |     -1,813 |        -28 |       -182 |     -2,023 |
| ../client/src/Views/App                                                                                     |          8 |     -1,363 |        -24 |       -137 |     -1,524 |
| ../client/src/Views/ProjectPopupViews                                                                       |          3 |       -382 |         -3 |        -40 |       -425 |
| ../client/src/Views/TeamsPopupView                                                                          |          1 |        -68 |         -1 |         -5 |        -74 |
| public                                                                                                      |          1 |         19 |          2 |          9 |         30 |
| src                                                                                                         |          9 |        488 |         53 |        162 |        703 |
| src (Files)                                                                                                 |          1 |         15 |          2 |          7 |         24 |
| src/App                                                                                                     |          3 |        290 |         21 |         99 |        410 |
| src/App/Controllers                                                                                         |          3 |        290 |         21 |         99 |        410 |
| src/Config                                                                                                  |          1 |          8 |          0 |          2 |         10 |
| src/Framework                                                                                               |          3 |        158 |         20 |         46 |        224 |
| src/utils                                                                                                   |          1 |         17 |         10 |          8 |         35 |
| vendor                                                                                                      |         10 |        600 |        384 |        146 |      1,130 |
| vendor (Files)                                                                                              |          1 |         20 |          1 |          5 |         26 |
| vendor/composer                                                                                             |          9 |        580 |        383 |        141 |      1,104 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                    | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/rock/Documents/Projekti/project-manager/api/composer.json                                            | JSON               |         16 |          0 |          1 |         17 |
| /Users/rock/Documents/Projekti/project-manager/api/composer.lock                                            | JSON               |         18 |          0 |          1 |         19 |
| /Users/rock/Documents/Projekti/project-manager/api/public/Index.php                                         | PHP                |         19 |          2 |          9 |         30 |
| /Users/rock/Documents/Projekti/project-manager/api/src/App/Controllers/AuthController.php                   | PHP                |         73 |          5 |         35 |        113 |
| /Users/rock/Documents/Projekti/project-manager/api/src/App/Controllers/ProjectsController.php               | PHP                |        159 |         14 |         50 |        223 |
| /Users/rock/Documents/Projekti/project-manager/api/src/App/Controllers/TasksController.php                  | PHP                |         58 |          2 |         14 |         74 |
| /Users/rock/Documents/Projekti/project-manager/api/src/Config/db.php                                        | PHP                |          8 |          0 |          2 |         10 |
| /Users/rock/Documents/Projekti/project-manager/api/src/Framework/Database.php                               | PHP                |         39 |         12 |         12 |         63 |
| /Users/rock/Documents/Projekti/project-manager/api/src/Framework/Router.php                                 | PHP                |         91 |          2 |         25 |        118 |
| /Users/rock/Documents/Projekti/project-manager/api/src/Framework/Validation.php                             | PHP                |         28 |          6 |          9 |         43 |
| /Users/rock/Documents/Projekti/project-manager/api/src/Routes.php                                           | PHP                |         15 |          2 |          7 |         24 |
| /Users/rock/Documents/Projekti/project-manager/api/src/utils/Helpers.php                                    | PHP                |         17 |         10 |          8 |         35 |
| /Users/rock/Documents/Projekti/project-manager/api/vendor/autoload.php                                      | PHP                |         20 |          1 |          5 |         26 |
| /Users/rock/Documents/Projekti/project-manager/api/vendor/composer/ClassLoader.php                          | PHP                |        286 |        235 |         59 |        580 |
| /Users/rock/Documents/Projekti/project-manager/api/vendor/composer/InstalledVersions.php                    | PHP                |        188 |        140 |         51 |        379 |
| /Users/rock/Documents/Projekti/project-manager/api/vendor/composer/autoload_classmap.php                    | PHP                |          6 |          1 |          4 |         11 |
| /Users/rock/Documents/Projekti/project-manager/api/vendor/composer/autoload_namespaces.php                  | PHP                |          5 |          1 |          4 |         10 |
| /Users/rock/Documents/Projekti/project-manager/api/vendor/composer/autoload_psr4.php                        | PHP                |          7 |          1 |          4 |         12 |
| /Users/rock/Documents/Projekti/project-manager/api/vendor/composer/autoload_real.php                        | PHP                |         24 |          4 |          9 |         37 |
| /Users/rock/Documents/Projekti/project-manager/api/vendor/composer/autoload_static.php                      | PHP                |         36 |          1 |          8 |         45 |
| /Users/rock/Documents/Projekti/project-manager/api/vendor/composer/installed.json                           | JSON               |          5 |          0 |          1 |          6 |
| /Users/rock/Documents/Projekti/project-manager/api/vendor/composer/installed.php                            | PHP                |         23 |          0 |          1 |         24 |
| /Users/rock/Documents/Projekti/project-manager/client/index.html                                            | HTML               |        -13 |          0 |         -1 |        -14 |
