"filename", "language", "TypeScript", "XML", "CSS", "HTML", "JSON with Comments", "JSON", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/App/ProjectPopupController.ts", "TypeScript", 181, 0, 0, 0, 0, 0, 0, 14, 195
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/App/ProjectsController.ts", "TypeScript", 247, 0, 0, 0, 0, 0, 3, 29, 279
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/App/ReportsController.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 1, 8
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/App/TasksController.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 1, 1, 10
"/Users/rock/Documents/Projekti/project-manager/client/src/Controllers/App/TeamsController.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 1, 1, 10
"/Users/rock/Documents/Projekti/project-manager/client/src/Routes/Router.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 12, 23, 118
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/ApiService.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 1, 11, 66
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/AuthService.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 9, 60
"/Users/rock/Documents/Projekti/project-manager/client/src/Services/ProjectsService.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 8, 43
"/Users/rock/Documents/Projekti/project-manager/client/src/Store/Store.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 12, 16, 88
"/Users/rock/Documents/Projekti/project-manager/client/src/Store/UserStore.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Dashboard.css", "CSS", 0, 0, 69, 0, 0, 0, 39, 11, 119
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Error.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 2, 13
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Login.css", "CSS", 0, 0, 81, 0, 0, 0, 0, 13, 94
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/MainContent.css", "CSS", 0, 0, 5, 0, 0, 0, 1, 1, 7
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Project.css", "CSS", 0, 0, 154, 0, 0, 0, 0, 26, 180
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/ProjectPopup.css", "CSS", 0, 0, 75, 0, 0, 0, 0, 13, 88
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Projects.css", "CSS", 0, 0, 210, 0, 0, 0, 3, 35, 248
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Root.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 3, 15
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Sidebar.css", "CSS", 0, 0, 106, 0, 0, 0, 0, 18, 124
"/Users/rock/Documents/Projekti/project-manager/client/src/Types/css.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/rock/Documents/Projekti/project-manager/client/src/Utils/Helpers.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 4, 18, 98
"/Users/rock/Documents/Projekti/project-manager/client/src/index.html", "HTML", 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/rock/Documents/Projekti/project-manager/client/src/main.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/rock/Documents/Projekti/project-manager/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/rock/Documents/Projekti/project-manager/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 19, 0, 2, 3, 24
"/Users/rock/Documents/Projekti/project-manager/client/vite.config.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 1808, 10, 723, 25, 19, 15, 112, 394, 3106
