"filename", "language", "HTML", "TypeScript", "JSON", "JSON with Comments", "CSS", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Error/ErrorView.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 6, 47
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectPage/ProjectPopups/ProjectTaskPopup.ts", "TypeScript", 0, 187, 0, 0, 0, 0, 15, 202
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectPage/ProjectPopups/ProjectViewPopup.ts", "TypeScript", 0, 72, 0, 0, 0, 4, 7, 83
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectPage/ProjectView.ts", "TypeScript", 0, 250, 0, 0, 0, 6, 32, 288
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectPage/ProjectViewInfoManager.ts", "TypeScript", 0, 146, 0, 0, 0, 8, 16, 170
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectPage/ProjectViewMemberManager.ts", "TypeScript", 0, 189, 0, 0, 0, 11, 17, 217
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectPage/ProjectViewTaskManager.ts", "TypeScript", 0, 141, 0, 0, 0, 5, 9, 155
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectsPage/ProjectsPopup/CreateNewProject.ts", "TypeScript", 0, 197, 0, 0, 0, 8, 27, 232
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Projects/ProjectsPage/ProjectsView.ts", "TypeScript", 0, 353, 0, 0, 0, 18, 45, 416
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Reports/ReportsView.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 4, 42
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ReusableComponents/AddMember/AddMemberContainer.ts", "TypeScript", 0, 160, 0, 0, 0, 3, 13, 176
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ReusableComponents/AddMember/AddMemberCreateTeamPopup.ts", "TypeScript", 0, 65, 0, 0, 0, 6, 11, 82
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ReusableComponents/AddMember/AddMemberEditTeam.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 12, 69
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ReusableComponents/AddMember/AddMemberProjectPopup.ts", "TypeScript", 0, 82, 0, 0, 0, 2, 11, 95
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Tasks/TaskDetails/TaskDetailsPopup.ts", "TypeScript", 0, 285, 0, 0, 0, 13, 20, 318
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Tasks/TasksView.ts", "TypeScript", 0, 121, 0, 0, 0, 102, 22, 245
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Teams/TeamPage/TeamMembersManager.ts", "TypeScript", 0, 185, 0, 0, 0, 4, 20, 209
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Teams/TeamPage/TeamSettingsManager.ts", "TypeScript", 0, 140, 0, 0, 0, 5, 13, 158
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Teams/TeamPage/TeamView.ts", "TypeScript", 0, 120, 0, 0, 0, 2, 18, 140
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Teams/TeamsPage/CreateNewTeamPopup.ts", "TypeScript", 0, 134, 0, 0, 0, 6, 15, 155
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/Teams/TeamsPage/TeamsView.ts", "TypeScript", 0, 194, 0, 0, 0, 3, 16, 213
"/Users/rock/Documents/Projekti/project-manager/client/src/index.html", "HTML", 12, 0, 0, 0, 0, 0, 2, 14
"/Users/rock/Documents/Projekti/project-manager/client/src/main.ts", "TypeScript", 0, 32, 0, 0, 0, 7, 3, 42
"/Users/rock/Documents/Projekti/project-manager/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"/Users/rock/Documents/Projekti/project-manager/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 19, 0, 2, 3, 24
"/Users/rock/Documents/Projekti/project-manager/client/vite.config.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 2, 11
"Total", "-", 25, 4437, 935, 19, 2499, 449, 1000, 9364
