"filename", "language", "JSON", "PHP", "TypeScript", "CSS", "HTML", "JSON with Comments", "comment", "blank", "total"
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/ProjectPopup.css", "CSS", 0, 0, 0, -71, 0, 0, 0, -10, -81
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Projects.css", "CSS", 0, 0, 0, -146, 0, 0, -2, -25, -173
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Reports.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Root.css", "CSS", 0, 0, 0, -12, 0, 0, 0, -3, -15
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/SharedStylings/Popup.css", "CSS", 0, 0, 0, -41, 0, 0, 0, -6, -47
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/SharedStylings/ProjectCards.css", "CSS", 0, 0, 0, -43, 0, 0, -1, -8, -52
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/SharedStylings/SectionHeader.css", "CSS", 0, 0, 0, -11, 0, 0, 0, -2, -13
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/SharedStylings/UpperInnerSection.css", "CSS", 0, 0, 0, -27, 0, 0, 0, -2, -29
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Sidebar.css", "CSS", 0, 0, 0, -110, 0, 0, -1, -18, -129
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Tasks.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/TeamPopup.css", "CSS", 0, 0, 0, -62, 0, 0, 0, -9, -71
"/Users/rock/Documents/Projekti/project-manager/client/src/Styles/Teams.css", "CSS", 0, 0, 0, -242, 0, 0, -28, -39, -309
"/Users/rock/Documents/Projekti/project-manager/client/src/Types/css.d.ts", "TypeScript", 0, 0, -4, 0, 0, 0, 0, 0, -4
"/Users/rock/Documents/Projekti/project-manager/client/src/Utils/Helpers.ts", "TypeScript", 0, 0, -76, 0, 0, 0, -4, -18, -98
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/App/AuthView.ts", "TypeScript", 0, 0, -177, 0, 0, 0, -11, -23, -211
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/App/DashboardView.ts", "TypeScript", 0, 0, -159, 0, 0, 0, -6, -20, -185
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/App/ErrorView.ts", "TypeScript", 0, 0, -41, 0, 0, 0, 0, -6, -47
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/App/ProjectView.ts", "TypeScript", 0, 0, -493, 0, 0, 0, -4, -44, -541
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/App/ProjectsView.ts", "TypeScript", 0, 0, -256, 0, 0, 0, -3, -30, -289
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/App/ReportsView.ts", "TypeScript", 0, 0, -38, 0, 0, 0, 0, -4, -42
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/App/TasksView.ts", "TypeScript", 0, 0, -38, 0, 0, 0, 0, -4, -42
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/App/TeamsView.ts", "TypeScript", 0, 0, -194, 0, 0, 0, 0, -17, -211
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ProjectPopupViews/ProjectPopupMemberView.ts", "TypeScript", 0, 0, -131, 0, 0, 0, -1, -15, -147
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ProjectPopupViews/ProjectPopupTaskView.ts", "TypeScript", 0, 0, -198, 0, 0, 0, -1, -17, -216
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/ProjectPopupViews/ProjectPopupView.ts", "TypeScript", 0, 0, -66, 0, 0, 0, -1, -10, -77
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/TeamsExtraViews/Team.ts", "TypeScript", 0, 0, -13, 0, 0, 0, 0, -3, -16
"/Users/rock/Documents/Projekti/project-manager/client/src/Views/TeamsExtraViews/TeamsPopupView.ts", "TypeScript", 0, 0, -172, 0, 0, 0, -6, -21, -199
"/Users/rock/Documents/Projekti/project-manager/client/src/index.html", "HTML", 0, 0, 0, 0, -12, 0, 0, -2, -14
"/Users/rock/Documents/Projekti/project-manager/client/src/main.ts", "TypeScript", 0, 0, -32, 0, 0, 0, 0, -3, -35
"/Users/rock/Documents/Projekti/project-manager/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -1, -1, -2
"/Users/rock/Documents/Projekti/project-manager/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, -19, -2, -3, -24
"/Users/rock/Documents/Projekti/project-manager/client/vite.config.ts", "TypeScript", 0, 0, -9, 0, 0, 0, 0, -2, -11
"Total", "-", -896, 1244, -2785, -1312, -25, -19, 235, -237, -3795
