Date : 2025-04-26 00:34:47
Directory : /Users/rock/Documents/Projekti/project-manager/api
Total : 77 files,  -3793 codes, 235 comments, -237 blanks, all -3795 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| PHP                |         20 |      1,244 |        444 |        356 |      2,044 |
| JSON with Comments |          1 |        -19 |         -2 |         -3 |        -24 |
| HTML               |          2 |        -25 |          0 |         -3 |        -28 |
| JSON               |          5 |       -896 |          0 |          1 |       -895 |
| CSS                |         18 |     -1,312 |       -120 |       -217 |     -1,649 |
| TypeScript         |         31 |     -2,785 |        -87 |       -371 |     -3,243 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |         77 |     -3,793 |        235 |       -237 |     -3,795 |
| . (Files)                                                                                                   |          2 |         34 |          0 |          2 |         36 |
| ..                                                                                                          |         54 |     -5,076 |       -209 |       -596 |     -5,881 |
| ../client                                                                                                   |         54 |     -5,076 |       -209 |       -596 |     -5,881 |
| ../client (Files)                                                                                           |          5 |       -976 |         -2 |         -8 |       -986 |
| ../client/src                                                                                               |         49 |     -4,100 |       -207 |       -588 |     -4,895 |
| ../client/src (Files)                                                                                       |          3 |        -44 |         -1 |         -6 |        -51 |
| ../client/src/Assets                                                                                        |          1 |        -57 |          0 |        -11 |        -68 |
| ../client/src/Components                                                                                    |          4 |       -283 |        -13 |        -35 |       -331 |
| ../client/src/Routes                                                                                        |          1 |        -87 |        -14 |        -24 |       -125 |
| ../client/src/Services                                                                                      |          5 |       -180 |         -1 |        -41 |       -222 |
| ../client/src/Store                                                                                         |          2 |        -81 |        -21 |        -22 |       -124 |
| ../client/src/Styles                                                                                        |         18 |     -1,312 |       -120 |       -217 |     -1,649 |
| ../client/src/Styles (Files)                                                                                |         14 |     -1,190 |       -119 |       -199 |     -1,508 |
| ../client/src/Styles/SharedStylings                                                                         |          4 |       -122 |         -1 |        -18 |       -141 |
| ../client/src/Types                                                                                         |          1 |         -4 |          0 |          0 |         -4 |
| ../client/src/Utils                                                                                         |          1 |        -76 |         -4 |        -18 |        -98 |
| ../client/src/Views                                                                                         |         13 |     -1,976 |        -33 |       -214 |     -2,223 |
| ../client/src/Views/App                                                                                     |          8 |     -1,396 |        -24 |       -148 |     -1,568 |
| ../client/src/Views/ProjectPopupViews                                                                       |          3 |       -395 |         -3 |        -42 |       -440 |
| ../client/src/Views/TeamsExtraViews                                                                         |          2 |       -185 |         -6 |        -24 |       -215 |
| public                                                                                                      |          1 |         19 |          2 |          9 |         30 |
| src                                                                                                         |         10 |        630 |         58 |        202 |        890 |
| src (Files)                                                                                                 |          1 |         21 |          3 |          9 |         33 |
| src/App                                                                                                     |          4 |        415 |         25 |        137 |        577 |
| src/App/Controllers                                                                                         |          4 |        415 |         25 |        137 |        577 |
| src/Config                                                                                                  |          1 |          8 |          0 |          2 |         10 |
| src/Framework                                                                                               |          3 |        169 |         20 |         46 |        235 |
| src/utils                                                                                                   |          1 |         17 |         10 |          8 |         35 |
| vendor                                                                                                      |         10 |        600 |        384 |        146 |      1,130 |
| vendor (Files)                                                                                              |          1 |         20 |          1 |          5 |         26 |
| vendor/composer                                                                                             |          9 |        580 |        383 |        141 |      1,104 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                    | language           | code       | comment    | blank      | total      |
